ObservationDate,Confirmed,Deaths,Recovered
01/22/2020,555.0,17.0,28.0
01/23/2020,653.0,18.0,30.0
01/24/2020,941.0,26.0,36.0
01/25/2020,1438.0,42.0,39.0
01/26/2020,2118.0,56.0,52.0
01/27/2020,2927.0,82.0,61.0
01/28/2020,5578.0,131.0,107.0
01/29/2020,6165.0,133.0,126.0
01/30/2020,8235.0,171.0,143.0
01/31/2020,9925.0,213.0,222.0
02/01/2020,12038.0,259.0,284.0
02/02/2020,16787.0,362.0,472.0
02/03/2020,19881.0,426.0,623.0
02/04/2020,23892.0,492.0,852.0
02/05/2020,27636.0,564.0,1124.0
02/06/2020,30818.0,634.0,1487.0
02/07/2020,34392.0,719.0,2011.0
02/08/2020,37121.0,806.0,2616.0
02/09/2020,40151.0,906.0,3244.0
02/10/2020,42763.0,1013.0,3946.0
02/11/2020,44803.0,1113.0,4683.0
02/12/2020,45222.0,1118.0,5150.0
02/13/2020,60370.0,1371.0,6295.0
02/14/2020,66887.0,1523.0,8058.0
02/15/2020,69032.0,1666.0,9395.0
02/16/2020,71226.0,1770.0,10865.0
02/17/2020,73260.0,1868.0,12583.0
02/18/2020,75138.0,2007.0,14352.0
02/19/2020,75641.0,2122.0,16121.0
02/20/2020,76199.0,2247.0,18177.0
02/21/2020,76843.0,2251.0,18890.0
02/22/2020,78599.0,2458.0,22886.0
02/23/2020,78985.0,2469.0,23394.0
02/24/2020,79570.0,2629.0,25227.0
02/25/2020,80415.0,2708.0,27905.0
02/26/2020,81397.0,2770.0,30384.0
02/27/2020,82756.0,2814.0,33277.0
02/28/2020,84124.0,2872.0,36711.0
02/29/2020,86013.0,2941.0,39782.0
03/01/2020,88371.0,2996.0,42716.0
03/02/2020,90309.0,3085.0,45602.0
03/03/2020,92844.0,3160.0,48229.0
03/04/2020,95124.0,3254.0,51171.0
03/05/2020,97886.0,3348.0,53797.0
03/06/2020,101800.0,3460.0,55866.0
03/07/2020,105836.0,3558.0,58359.0
03/08/2020,109835.0,3803.0,60695.0
03/09/2020,113582.0,3996.0,62512.0
03/10/2020,118582.0,4262.0,64404.0
03/11/2020,125865.0,4615.0,67003.0
03/12/2020,128343.0,4720.0,68324.0
03/13/2020,145193.0,5404.0,70251.0
03/14/2020,156099.0,5819.0,72624.0
03/15/2020,167447.0,6440.0,76034.0
03/16/2020,181546.0,7126.0,78088.0
03/17/2020,197168.0,7905.0,80840.0
03/18/2020,214915.0,8733.0,83313.0
03/19/2020,242713.0,9867.0,84962.0
03/20/2020,272167.0,11299.0,87403.0
03/21/2020,304549.0,12973.0,91676.0
03/22/2020,337122.0,14623.0,97243.0
03/23/2020,378283.0,16497.0,100958.0
03/24/2020,417962.0,18615.0,107699.0
03/25/2020,467594.0,21181.0,113764.0
03/26/2020,529591.0,23970.0,122144.0
03/27/2020,593291.0,27198.0,130909.0
03/28/2020,660693.0,30652.0,139409.0
03/29/2020,720140.0,33925.0,149076.0
03/30/2020,782389.0,37582.0,164560.0
03/31/2020,857487.0,42107.0,178028.0
04/01/2020,932605.0,46809.0,193171.0
04/02/2020,1013303.0,52983.0,210263.0
04/03/2020,1095917.0,58787.0,225796.0
04/04/2020,1197408.0,64606.0,246152.0
04/05/2020,1272115.0,69374.0,260012.0
04/06/2020,1345101.0,74565.0,276515.0
04/07/2020,1426096.0,81865.0,300054.0
04/08/2020,1511104.0,88338.0,328661.0
04/09/2020,1595350.0,95455.0,353975.0
04/10/2020,1691719.0,102525.0,376096.0
04/11/2020,1771514.0,108502.0,402110.0
04/12/2020,1846680.0,114089.0,421722.0
04/13/2020,1917320.0,119482.0,448655.0
04/14/2020,1976192.0,125984.0,474261.0
04/15/2020,2056055.0,134177.0,511019.0
04/16/2020,2152647.0,143801.0,542107.0
04/17/2020,2240191.0,153822.0,568343.0
04/18/2020,2317759.0,159510.0,592319.0
04/19/2020,2401379.0,165044.0,623903.0
04/20/2020,2472259.0,169986.0,645738.0
04/21/2020,2549123.0,176583.0,679819.0
04/22/2020,2623960.0,183066.0,709694.0
04/23/2020,2708885.0,190858.0,738486.0
04/24/2020,2810715.0,197151.0,793420.0
04/25/2020,2896746.0,202846.0,816685.0
04/26/2020,2971475.0,206544.0,865733.0
04/27/2020,3041764.0,211167.0,893967.0
04/28/2020,3116398.0,217153.0,928658.0
04/29/2020,3193886.0,227638.0,972719.0
04/30/2020,3256846.0,233388.0,1014753.0
05/01/2020,3343777.0,238650.0,1053327.0
05/02/2020,3427343.0,243808.0,1093112.0
05/03/2020,3506729.0,247470.0,1125236.0
05/04/2020,3583055.0,251537.0,1162724.0
05/05/2020,3662691.0,257239.0,1198832.0
05/06/2020,3755341.0,263831.0,1245413.0
05/07/2020,3845718.0,269567.0,1284741.0
05/08/2020,3938064.0,274898.0,1322050.0
05/09/2020,4024009.0,279311.0,1375624.0
05/10/2020,4101699.0,282709.0,1408980.0
05/11/2020,4177504.0,286330.0,1456209.0
05/12/2020,4261955.0,291964.0,1493414.0
05/13/2020,4347018.0,297197.0,1548547.0
05/14/2020,4442163.0,302418.0,1587893.0
05/15/2020,4542347.0,307666.0,1637067.0
05/16/2020,4634068.0,311781.0,1693197.0
05/17/2020,4713620.0,315185.0,1733963.0
05/18/2020,4801943.0,318481.0,1786875.0
05/19/2020,4897492.0,323285.0,1838995.0
05/20/2020,4996472.0,328115.0,1897466.0
05/21/2020,5102424.0,332924.0,1948739.0
